system:index,impervious,landcover,percent_tree_cover,percent_tree_error,.geo
914,0,71,75,18,
915,0,42,70,13,
916,0,81,1,6,
917,36,22,4,9,
918,0,81,18,16,
919,0,81,3,7,
920,0,42,75,13,
921,0,81,27,21,
922,0,81,9,12,
923,0,41,96,7,
924,0,81,7,11,
925,0,41,82,14,
926,0,81,5,8,
927,0,41,91,8,
928,0,43,98,5,
929,0,71,59,22,
930,63,23,6,9,
931,0,81,81,12,
932,0,41,84,12,
933,0,71,62,24,
934,0,41,86,11,
935,0,41,100,4,
936,0,81,34,29,
937,1,21,98,5,
938,0,41,100,3,
939,0,81,4,10,
940,0,42,82,12,
941,0,81,23,17,
942,0,81,5,13,
943,0,42,92,14,
944,0,41,98,6,
945,0,42,92,11,
946,21,22,18,18,
947,0,42,74,14,
948,0,81,32,22,
949,0,41,91,7,
950,0,42,72,14,
951,0,42,99,5,
952,25,23,28,14,
953,0,41,100,2,
954,0,41,97,5,
955,0,41,17,18,
956,0,41,81,15,
957,0,81,26,15,
958,0,41,92,11,
959,0,43,71,18,
960,0,41,97,6,
961,0,42,81,10,
962,0,71,26,25,
963,0,81,26,18,
964,0,42,96,8,
965,0,90,94,7,
966,0,41,13,12,
967,0,41,97,8,
968,0,41,90,8,
969,0,41,96,7,
970,5,21,3,7,
971,0,41,92,10,
972,0,43,97,8,
973,11,21,4,7,
974,0,71,6,12,
975,0,41,84,11,
976,0,11,0,4,
977,5,21,35,17,
978,0,41,89,11,
979,0,42,91,11,
980,22,22,11,12,
981,0,81,10,10,
982,0,11,18,26,
983,0,71,6,13,
984,8,21,27,20,
985,0,41,82,12,
986,0,41,81,17,
987,0,41,100,2,
988,0,42,93,9,
989,0,42,81,11,
990,0,41,14,16,
991,0,41,78,13,
992,16,21,45,16,
993,0,41,100,1,
994,0,81,5,6,
995,0,41,93,8,
996,10,22,30,17,
997,0,81,20,15,
998,0,41,100,1,
999,0,41,100,3,
1000,0,81,15,15,
1001,0,81,28,27,
1002,3,21,23,25,
1003,0,71,5,8,
1004,0,81,30,19,
1005,0,81,14,15,
1006,0,42,95,6,
1007,71,23,2,6,
1008,0,41,66,14,
1009,0,81,23,18,
1010,0,41,67,26,
1011,0,41,99,6,
1012,0,41,63,19,
1013,0,41,99,5,
1014,0,41,99,6,
1015,0,41,95,9,
1016,0,82,2,8,
1017,0,41,96,8,
1018,17,21,14,12,
1019,0,41,100,2,
1020,0,81,29,20,
1021,0,41,89,11,
1022,0,42,100,5,
1023,0,52,27,20,
1024,0,41,63,21,
1025,0,81,4,10,
1026,0,41,95,6,
1027,0,81,13,13,
1028,0,41,99,4,
1029,0,81,3,8,
1030,4,21,32,19,
1031,0,41,81,12,
1032,0,41,100,1,
1033,0,41,99,4,
1034,0,41,100,3,
1035,0,41,12,18,
1036,0,11,19,25,
1037,2,21,14,11,
1038,0,81,15,11,
1039,0,81,14,13,
1040,0,81,6,13,
1041,0,43,86,13,
1042,54,23,10,13,
1043,0,42,88,10,
1044,33,22,50,16,
1045,39,22,9,16,
1046,2,21,96,6,
1047,0,41,96,8,
1048,0,41,20,21,
1049,0,41,93,12,
1050,22,22,66,18,
1051,0,41,99,5,
1052,0,41,73,16,
1053,0,42,91,12,
1054,0,41,98,4,
1055,0,42,77,13,
1056,0,81,11,11,
1057,20,22,42,18,
1058,28,22,13,12,
1059,9,21,22,21,
1060,0,41,100,1,
1061,0,41,95,8,
1062,0,71,88,13,
1063,1,21,60,20,
1064,29,22,52,18,
1065,1,21,16,15,
1066,0,42,96,10,
1067,0,41,45,21,
1068,0,42,87,13,
1069,0,81,34,22,
1070,43,22,67,20,
1071,0,42,94,10,
1072,29,22,11,11,
1073,0,81,0,3,
1074,0,41,47,21,
1075,2,22,34,19,
1076,16,71,37,22,
1077,0,41,86,18,
1078,0,81,13,16,
1079,0,90,99,6,
1080,0,81,83,12,
1081,0,41,91,9,
1082,0,71,72,21,
1083,0,81,6,8,
1084,0,42,93,9,
1085,0,81,16,17,
1086,2,21,96,6,
1087,0,42,97,5,
1088,0,81,2,4,
1089,0,42,76,12,
1090,2,21,95,7,
1091,0,41,92,10,
1092,19,21,7,12,
1093,0,90,100,4,
1094,19,21,33,20,
1095,0,81,2,7,
1096,0,41,96,8,
1097,0,41,72,18,
1098,0,42,93,10,
1099,0,81,1,3,
1100,0,41,95,7,
1101,0,41,90,13,
1102,0,41,96,8,
1103,35,22,2,5,
1104,0,90,98,6,
1105,18,21,7,9,
1106,0,41,49,21,
1107,6,21,28,16,
1108,0,42,97,6,
1109,0,42,86,10,
1110,0,41,77,14,
1111,0,41,87,13,
1112,0,41,96,9,
1113,0,41,80,12,
1114,2,21,88,13,
1115,0,41,80,14,
1116,0,81,42,19,
1117,0,11,13,17,
1118,1,21,64,19,
1119,3,21,8,12,
1120,0,42,72,14,
1121,26,22,51,21,
1122,0,41,99,3,
1123,0,41,100,1,
1124,0,41,100,1,
1125,0,41,99,4,
1126,12,21,19,17,
1127,0,81,18,23,
1128,12,21,38,17,
1129,0,81,4,8,
1130,0,81,2,5,
1131,0,41,75,19,
1132,0,41,98,5,
1133,0,41,99,2,
1134,0,81,2,5,
1135,0,41,94,7,
1136,0,42,90,11,
1137,0,11,17,23,
1138,0,81,37,20,
1139,0,41,78,13,
1140,0,81,2,5,
1141,0,42,97,8,
1142,0,71,10,15,
1143,0,81,21,27,
1144,0,42,90,12,
1145,0,81,5,6,
1146,0,41,74,18,
1147,0,52,22,20,
1148,0,71,47,20,
1149,0,42,99,5,
1150,0,81,4,9,
1151,0,81,3,6,
1152,0,42,97,6,
1153,23,22,24,14,
1154,0,41,87,10,
1155,0,41,99,7,
1156,0,41,98,4,
1157,12,21,4,7,
1158,0,81,11,12,
1159,0,42,81,14,
1160,0,81,5,10,
1161,0,42,100,2,
1162,0,42,93,9,
1163,0,42,96,9,
1164,0,42,100,3,
1165,0,42,98,4,
1166,0,81,9,11,
1167,0,81,0,2,
1168,14,21,31,19,
1169,0,41,100,3,
1170,0,81,18,14,
1171,0,42,93,8,
1172,0,41,94,10,
1173,5,21,88,12,
1174,8,21,19,22,
1175,0,81,12,16,
1176,24,22,61,18,
1177,0,41,71,19,
1178,0,81,3,6,
1179,0,82,6,14,
1180,0,41,91,10,
1181,100,24,6,9,
1182,0,71,18,13,
1183,0,41,98,7,
1184,0,81,11,13,
1185,14,21,41,20,
1186,0,41,88,11,
1187,0,41,84,13,
1188,0,81,9,11,
1189,0,42,99,4,
1190,0,42,83,13,
1191,37,22,37,19,
1192,0,81,8,12,
1193,32,22,29,15,
1194,0,41,100,1,
1195,0,42,95,9,
1196,0,81,0,4,
1197,0,41,91,9,
1198,0,41,86,13,
1199,23,22,5,9,
1200,0,41,92,9,
1201,0,41,93,9,
1202,0,41,81,15,
1203,0,81,6,9,
1204,0,81,6,9,
1205,0,41,79,16,
1206,0,81,6,7,
1207,0,42,92,9,
1208,0,41,37,20,
1209,0,71,42,24,
1210,0,81,1,6,
1211,0,41,93,8,
1212,0,11,0,1,
1213,0,42,96,9,
1214,0,42,81,14,
1215,0,41,97,7,
1216,5,21,96,11,
1217,23,22,35,17,
1218,0,41,62,17,
1219,0,42,97,7,
1220,11,21,40,18,
1221,0,81,20,19,
1222,0,71,84,12,
1223,0,71,26,14,
1224,0,81,0,2,
1225,0,81,5,10,
1226,0,81,8,11,
1227,0,42,83,15,
1228,0,81,54,20,
1229,0,41,91,8,
1230,0,42,94,7,
1231,0,81,2,7,
1232,0,41,98,6,
1233,25,22,17,15,
1234,0,42,77,11,
1235,0,41,93,9,
